file_name,image_name,extension,climate_variable,indicator,measure,statistic,temporal_scale,plot_type,quick_access_title,ACR_common_figure,common_figure,slide_sort,slide_title,slide_subheading
TavgF-Timeseries.png,TavgF-Timeseries,png,Temperature,Tavg,deg,Variability,Ann,TS-century,Temperature_Tavg_deg_Variability_Ann_TS-century,Yes,Yes,1,"LEAD TO FILL IN (e.g., Average annual temperature increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
TavgF-PrcpIn-Timeseries.png,TavgF-PrcpIn-Timeseries,png,Temperature,Tavg.Precip,deg.in,Variability,Ann,TS-century,Temperature_Tavg.Precip_deg.in_Variability_Ann_TS-century,Yes,Yes,2,"LEAD TO FILL IN (e.g., Average annual temperature and precipitation increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
TavgF-Annual-bar.png,TavgF-Annual-bar,png,Temperature,Tavg,deg,Avg,Ann,Bar,Temperature_Tavg_deg_Avg_Ann_Bar,No,No,3,"LEAD TO FILL IN (e.g., Average annual temperature increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
TavgF-Annual-box.png,TavgF-Annual-box,png,Temperature,Tavg,deg,Avg,Ann,Box,Temperature_Tavg_deg_Avg_Ann_Box,No,No,4,"LEAD TO FILL IN (e.g., Average annual temperature increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
TavgF-Annual-timeseries.png,TavgF-Annual-timeseries,png,Temperature,Tavg,deg,Variability,Ann,TS,Temperature_Tavg_deg_Variability_Ann_TS,No,No,5,"LEAD TO FILL IN (e.g., Average annual temperature increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
TavgFDelta-Monthly-line.png,TavgFDelta-Monthly-line,png,Temperature,Tavg,deg,Delta,Mon,Line,Temperature_Tavg_deg_Delta_Mon_Line,Yes,Yes,6,"LEAD TO FILL IN (e.g., Average annual temperature increases across all months in both climate futures)","Add any relevant context or delete text box, then resize figure"
OverHotTemp-Annual-bar.png,OverHotTemp-Annual-bar,png,Temperature,Tmax-95deg,Days,Avg,Ann,Bar,Temperature_Tmax-95deg_Days_Avg_Ann_Bar,No,No,7,"LEAD TO FILL IN (e.g., Average number of days per year where the temperature gets above 95°F increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
OverHotTemp-Annual-box.png,OverHotTemp-Annual-box,png,Temperature,Tmax-95deg,Days,Avg,Ann,Box,Temperature_Tmax-95deg_Days_Avg_Ann_Box,No,No,8,"LEAD TO FILL IN (e.g., Average number of days per year where the temperature gets above 95°F increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
OverHotTemp-Annual-timeseries.png,OverHotTemp-Annual-timeseries,png,Temperature,Tmax-95deg,Days,Variability,Ann,TS,Temperature_Tmax-95deg_Days_Variability_Ann_TS,No,No,9,"LEAD TO FILL IN (e.g., Average number of days per year where the temperature gets above 95°F increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
OverHighQ-Annual-bar.png,OverHighQ-Annual-bar,png,Temperature,Tmax-95th,Days,Avg,Ann,Bar,Temperature_Tmax-95th_Days_Avg_Ann_Bar,No,No,10,"LEAD TO FILL IN (e.g., Average number of days per year with temperatures above the historical 95th percentile increases in both climate futures)","Add any relevant context or delete text box, then resize figure"
